"X","YStar","Y"
7.1,15.3058023678937,15.3058023678937
7.2,15.8569988054234,15.8569988054234
7.3,15.5228470646435,15.5228470646435
7.4,15.4659991576335,15.4659991576335
7.5,15.9652739716887,15.9652739716887
7.6,16.9876396056302,16.9876396056302
7.7,18.4752450086523,18.4752450086523
7.8,17.6273924387638,17.6273924387638
7.9,18.0079083983867,18.0079083983867
8,15.768676578442,15.768676578442
8.1,18.1838955700534,18.1838955700534
8.2,17.6199248036606,17.6199248036606
8.3,16.1327499709078,16.1327499709078
8.4,18.3210227426481,18.3210227426481
8.5,17.841245395284,17.841245395284
8.6,19.6645873119698,19.6645873119698
8.7,17.6339180003953,17.6339180003953
8.8,18.1697882460715,18.1697882460715
8.9,17.8738905026226,17.8738905026226
9,18.8228960385635,18.8228960385635
9.1,19.6020117794863,19.6020117794863
9.2,18.6682518268804,18.6682518268804
9.3,20.4303731679817,20.4303731679817
9.4,18.5919172136955,18.5919172136955
9.5,18.9520155871923,18.9520155871923
9.6,21.6411577068443,21.6411577068443
9.7,19.3841525346954,19.3841525346954
9.8,21.0119747123175,21.0119747123175
9.9,20.4189239488911,20.4189239488911
10,21.4094018396509,21.4094018396509
